value_f,size
-2851.0,0
-1860.2758956784187,1
-867.8757048614657,2
125.48955804748448,3
1118.4493863343782,4
2110.975516136793,5
3096.1844989921287,6
4063.4876173141906,7
5054.206147882744,8
6016.439274639164,9
6999.649134032017,10
7976.585306594554,11
8944.160790423433,12
9935.645150457234,13
10917.860492699725,14
11894.348218924746,15
12873.272805580014,16
13847.17945814327,17
14810.9841374126,18
15797.171160961689,19
16716.0025631015,20
17685.71379558054,21
18664.58205760966,22
19589.758121276547,23
20454.712674320937,24
21410.430453086232,25
22307.286442447905,26
23277.39067202839,27
24253.999701648794,28
25148.27494145128,29
26004.585019631497,30
26935.17618779634,31
27699.169894140006,32
28689.86719333732,33
29611.281931128447,34
30586.63920655015,35
31576.537988748114,36
32512.940840866293,37
33501.332210868524,38
34280.2181363462,39
35098.36905272747,40
35980.0637777366,41
36763.80841155342,42
37740.25478500491,43
38684.31983408224,44
39567.78655202379,45
40400.63517826181,46
41358.1831026926,47
42344.20652973872,48
43211.935499544765,49
44208.69891397108,50
45090.2139285031,51
45976.91250133497,52
46884.8696947221,53
47779.09655293699,54
48720.72543300956,55
49690.13013362035,56
50598.79752774726,57
51236.1439521988,58
52152.2165839183,59
53063.09928940203,60
53903.17507969668,61
54808.92069880043,62
55721.85974157773,63
56608.89270942071,64
57641.12126785455,65
58630.34754283347,66
59488.03426831198,67
60158.52404971566,68
61100.094528474925,69
61831.85963291095,70
62748.63413254964,71
63603.87700437268,72
64467.71193765489,73
65351.54933004149,74
66163.98118897065,75
67044.03337403656,76
67957.83787045308,77
68816.78458145988,78
69635.45943882475,79
70430.34236397289,80
71289.94290748042,81
72222.86538782604,82
73215.08328418877,83
73825.93775623661,84
74684.5335660544,85
75424.48421111792,86
76342.09807600985,87
77336.20252117144,88
78266.26914774004,89
79032.20713306792,90
79925.68327091116,91
80785.21869879577,92
81446.77921376932,93
82341.32556233359,94
83162.1384507846,95
84013.3113611604,96
84747.9177400664,97
85587.6742562082,98
86551.4199565389,99
87621.48783901645,100
88526.91118113017,101
89447.1128227257,102
90360.62769429771,103
91126.0744602398,104
91935.28755724324,105
92845.14760698167,106
93535.12716220904,107
94624.85777645893,108
95374.11813029283,109
96278.57517073677,110
96583.2217687805,111
97382.2588328335,112
97988.57997157435,113
98797.33662246917,114
99655.5299049954,115
100473.8791520032,116
101017.26786495172,117
101897.19205457316,118
102875.98478316124,119
103733.17908559965,120
104208.08450438504,121
105012.94733872816,122
105979.54303319864,123
106835.28006144565,124
107762.826608702,125
108425.16072615783,126
109189.63539126382,127
109900.53597814024,128
110628.02761773356,129
111403.07844641145,130
111960.41064284224,131
112949.96048519158,132
113791.65659540566,133
114688.93581954893,134
115580.03361662643,135
116577.11834034228,136
117378.5763799212,137
118117.47160076867,138
118419.07308882865,139
119357.23240862763,140
120064.27696324639,141
121010.23198480946,142
121781.16265651394,143
122710.94755452832,144
123612.08207174641,145
124073.8665980997,146
124814.11029360954,147
125611.17684497283,148
126322.80790261876,149
126893.44766621517,150
127678.09990088257,151
128418.55165872445,152
129154.4748432037,153
129556.49796761482,154
130471.02237180897,155
131300.5256283081,156
132258.1370204504,157
133166.3521723283,158
133783.54759459043,159
134944.6335866723,160
135625.3498188927,161
136616.09977108362,162
137314.02391564834,163
138252.73669736733,164
139190.66373170534,165
139458.48044913565,166
140210.81472486295,167
141073.1823230897,168
141404.33994986652,169
141992.29976996323,170
142593.90793786617,171
143148.82729456844,172
144002.26971812447,173
144694.93155051413,174
145364.3630336014,175
146024.75558131404,176
146724.87170440773,177
147264.4140450655,178
148144.12099633532,179
149016.63042697433,180
149861.17497993258,181
151202.2550215807,183
151881.45404672847,184
152088.6469921573,185
153208.55353768033,186
154090.86180023724,187
154478.02052968924,188
155271.1658438665,189
156144.8082616611,190
156842.23132830235,191
157705.58487041833,192
158583.39754141305,193
159384.21429229475,194
160475.8024193467,195
161332.80017118878,196
162098.04141858552,197
162663.60672321817,198
163299.72034698553,199
164193.72673711868,200
164798.65317213602,201
165468.50316812782,202
167156.28420805032,203
168137.21981426267,204
168389.7274175333,205
169363.8190108081,206
169794.23407003513,207
170524.76570852494,208
171456.1306516523,209
172208.3438781009,210
172740.86188971627,211
173460.6879781789,212
174500.26337541212,213
175110.1673234118,214
175839.03709547422,215
176641.84361427347,216
177323.39313922278,217
177430.25965467992,218
178288.33687554777,219
179267.06827700406,220
179724.38343919278,221
180539.5801734661,222
180666.38074941188,223
181784.54647977144,224
182069.9938848322,225
182606.71104998354,226
183172.00961758586,227
184155.18607278742,228
184936.73096442578,229
185235.43490917483,230
185813.98392337217,231
186339.9419392012,232
186915.93404597358,233
187791.52705164062,234
189022.94061602652,235
189862.417297768,236
190525.1941963853,237
191068.93658892938,238
191862.32711995803,239
192126.7646054574,241
192636.0684768555,242
193162.96005809106,243
194136.54014376842,244
194911.09961453828,245
195844.1091511599,246
196700.4922363295,247
197475.90859337745,249
198281.5006445212,250
199030.25455534222,251
199366.66475373346,252
200351.9279902885,253
201225.40375900822,254
201791.0295489288,255
201933.78092810625,256
202748.23028051862,257
203339.62903241266,258
204146.20751401564,259
204329.00393517868,260
205122.37949052843,261
205960.50382441896,262
206828.60076727567,264
207734.97531680364,265
208721.30395529707,266
209303.9048935816,267
210127.44841942904,268
211050.9628600372,269
211071.8373012485,270
212384.46395030164,271
212473.02000316652,273
212913.86877750218,274
213379.57465551957,275
213918.97927147048,276
214108.71677470565,277
215081.24907216223,278
215897.3079828728,279
216508.67709238388,280
216514.39180613178,281
217260.29469430217,282
217766.4491157114,283
218746.95357640032,285
218887.50952883178,286
219832.14702830953,287
220478.74371229767,288
221348.1331883964,289
221764.77034111047,290
222514.3474129025,291
223004.30160727113,292
223710.30793189327,293
224373.00056877508,294
225127.18767307463,295
226385.03920529736,296
226952.27316001788,297
227121.8220886864,298
227943.00262701602,299
228956.00815210998,300
229854.35881111273,301
230488.1340107104,302
231323.42174332717,303
232046.89672834368,304
232360.57490170858,305
232562.94321016528,307
233037.08351612886,308
233975.48797378098,309
234450.99957506557,310
235411.72099822713,311
235880.70065784364,313
236996.26420824285,315
237742.65475713805,316
238680.68972548188,317
239702.66298853882,318
240261.79381908666,319
240511.31473108553,320
241441.98975566038,321
241762.60877541365,322
242195.90769308602,323
243056.43718151902,324
243873.40211591238,325
243949.81619172913,326
244159.4760152905,327
244286.5632576778,329
245065.02640886055,330
245958.07165153444,331
246527.66998562624,332
246731.19825759658,333
247563.88107743766,334
248028.96173702195,335
248668.96894691334,336
249281.4720705558,337
250211.76974264657,338
250697.13476211348,339
251211.65356603186,340
252048.78993658858,341
253020.65941582725,343
253472.20472429704,344
253803.81307172103,347
255425.37145022087,348
255535.43430136621,349
256481.84762067455,350
256838.48041132517,351
257769.0273212844,352
258159.95358149905,353
258935.2791732325,354
259895.6576032434,355
261221.43791425563,357
261426.19421150847,358
262714.0510591077,362
263384.9515495266,363
263447.1146347008,364
263978.1860165851,365
264392.9331926799,366
264948.37925821694,367
265654.4856885112,369
266062.4797399594,370
267398.4406269282,371
267937.50756304816,372
268352.16439130553,380
269376.69880877226,381
269737.90268030635,382
270755.63615215465,383
271514.3669209218,384
272050.58230296965,385
272830.66199336026,387
273798.3854681384,388
274690.07431524777,390
275319.8250572469,391
276294.67467434565,392
276910.6410427647,395
277775.1393102642,396
278000.04807161604,397
278905.4324631323,398
279060.22517123463,399
279627.1204225517,400
280391.12425089587,401
280539.2516167792,402
280957.6819912838,407
281568.96125984105,408
282848.6567246971,409
282894.837458437,410
283548.5753974921,411
284358.97619033,412
284852.5043238588,413
286140.20261947,415
287020.22827781696,416
