evaluations raw_y
1 0.0000000000
evaluations raw_y
1 0.0000000000
2 160.0000000000
2 160.0000000000
4 195.0000000000
4 195.0000000000
7 198.0000000000
7 198.0000000000
11 207.0000000000
11 207.0000000000
12 292.0000000000
12 292.0000000000
16 318.0000000000
16 318.0000000000
18 335.0000000000
18 335.0000000000
20 353.0000000000
20 353.0000000000
22 365.0000000000
22 365.0000000000
27 378.0000000000
27 378.0000000000
34 380.0000000000
34 380.0000000000
40 395.0000000000
40 395.0000000000
41 398.0000000000
41 398.0000000000
57 400.0000000000
57 400.0000000000
62 402.0000000000
62 402.0000000000
63 407.0000000000
63 407.0000000000
69 410.0000000000
69 410.0000000000
134 411.0000000000
134 411.0000000000
163 413.0000000000
163 413.0000000000
208 416.0000000000
208 416.0000000000
227 417.0000000000
227 417.0000000000
256 423.0000000000
256 423.0000000000
286 424.0000000000
293 426.0000000000
286 424.0000000000
293 426.0000000000
420 431.0000000000
420 431.0000000000
996 432.0000000000
996 432.0000000000
1748 436.0000000000
1748 436.0000000000
2062 437.0000000000
2062 437.0000000000
4660 438.0000000000
4689 439.0000000000
4660 438.0000000000
4689 439.0000000000
11366 440.0000000000
11366 440.0000000000
11880 441.0000000000
11880 441.0000000000
23458 442.0000000000
23458 442.0000000000
100000 168.0000000000
100000 168.0000000000
