evaluations raw_y
1 0.0000000000
2 248.0000000000
3 299.0000000000
4 324.0000000000
5 373.0000000000
6 408.0000000000
9 435.0000000000
14 471.0000000000
30 486.0000000000
36 501.0000000000
44 512.0000000000
63 524.0000000000
129 530.0000000000
136 535.0000000000
186 536.0000000000
215 541.0000000000
962 544.0000000000
1229 550.0000000000
1694 556.0000000000
3302 557.0000000000
5850 558.0000000000
6637 561.0000000000
8706 565.0000000000
9506 566.0000000000
10877 569.0000000000
15310 570.0000000000
100000 206.0000000000
