evaluations raw_y
1 0.0000000000
2 3.0400000000
3 16.6400000000
4 29.6400000000
6 30.8600000000
9 45.3300000000
10 60.2200000000
26 64.9400000000
27 69.0500000000
31 88.2200000000
39 89.7700000000
48 94.8000000000
49 101.3700000000
52 107.9300000000
53 118.1100000000
62 135.9100000000
68 139.8100000000
69 156.9600000000
92 173.5500000000
97 176.9800000000
129 194.0300000000
135 200.6500000000
138 218.6000000000
143 228.4400000000
164 240.3900000000
177 248.1600000000
181 257.4900000000
196 272.8100000000
204 284.1700000000
211 292.6500000000
212 306.3900000000
307 316.1100000000
357 330.0800000000
371 337.2400000000
396 337.3500000000
412 340.4100000000
420 347.4500000000
508 352.9200000000
579 357.6500000000
603 366.5000000000
753 371.4900000000
761 374.6500000000
772 375.1400000000
775 377.3800000000
820 380.2700000000
914 388.3900000000
1115 397.3900000000
1301 408.1100000000
1389 435.8800000000
1400 459.7100000000
1406 480.4100000000
1539 485.8000000000
1587 496.2200000000
1601 500.0900000000
1620 503.8200000000
1716 511.7500000000
1857 520.5400000000
2049 521.5000000000
2055 529.9700000000
2313 531.7400000000
2377 533.6800000000
2495 544.0600000000
3398 554.8400000000
4051 559.2900000000
4276 564.2900000000
5864 568.2000000000
6701 569.3500000000
6708 572.6100000000
6803 590.0300000000
6975 591.0200000000
7175 591.9900000000
7226 597.3200000000
7278 599.4700000000
8324 600.3500000000
9034 614.4200000000
9402 627.3400000000
10319 630.8800000000
10362 633.6400000000
10364 634.5200000000
10372 640.4900000000
10395 660.5700000000
10400 662.0300000000
10411 663.7100000000
10421 672.5800000000
10443 673.2200000000
10561 679.1000000000
10999 694.3100000000
11075 710.1000000000
11085 728.9900000000
11169 733.3900000000
11174 735.3100000000
11215 743.3500000000
11218 743.5500000000
11230 752.1800000000
11280 760.3200000000
11410 764.8100000000
11480 768.9700000000
11503 771.1100000000
11505 773.3700000000
11550 782.5200000000
11773 791.9100000000
11851 792.3100000000
12103 793.1800000000
12145 794.4300000000
12191 797.3100000000
12226 798.2200000000
12316 799.6500000000
12338 800.1300000000
12572 805.7800000000
12590 808.6300000000
12730 810.0300000000
13164 812.1500000000
13491 814.9000000000
13624 814.9800000000
13926 823.6400000000
14952 827.4200000000
15328 829.0800000000
20007 829.5500000000
20052 836.1600000000
20661 845.5800000000
20773 851.0500000000
20843 856.9900000000
21468 862.2100000000
21609 863.0100000000
24804 873.3000000000
29672 874.9400000000
36117 876.7100000000
36345 880.0300000000
36606 881.2000000000
36660 891.2100000000
36759 897.3700000000
37727 900.6000000000
42381 913.4300000000
64324 915.1600000000
77101 917.0400000000
97878 917.2100000000
98507 919.4300000000
99047 938.6600000000
100000 199.0100000000
