evaluations raw_y
1 0.0000000000
2 3.2600000000
3 12.2900000000
4 26.3600000000
8 40.0600000000
10 55.0300000000
24 71.2900000000
29 83.1700000000
44 94.1600000000
47 97.3400000000
48 111.0500000000
50 187.4200000000
59 215.3900000000
64 226.8100000000
76 228.3800000000
78 238.4700000000
80 274.8700000000
94 285.9600000000
102 302.6100000000
105 314.3300000000
119 441.6900000000
123 444.1000000000
151 444.8100000000
158 445.9000000000
160 458.0900000000
184 462.3200000000
329 470.0300000000
341 470.4800000000
608 478.2300000000
625 484.3800000000
815 504.3000000000
1079 605.4200000000
1146 620.6100000000
1149 626.3200000000
1242 640.4100000000
1614 640.5400000000
1829 647.1600000000
4480 648.2100000000
4701 663.4200000000
5065 669.2100000000
5085 671.2200000000
5337 675.5900000000
5418 679.1800000000
5537 688.0400000000
5658 690.0100000000
5866 690.4600000000
6138 697.7400000000
6262 701.3800000000
6295 702.3100000000
6381 712.6200000000
6489 725.3300000000
10202 726.5100000000
10248 751.8000000000
10271 774.5800000000
11781 798.7600000000
11782 801.1800000000
11783 812.4700000000
11788 812.5900000000
11808 813.2500000000
11833 820.5000000000
11838 824.9500000000
11886 832.5100000000
11900 841.4300000000
11924 853.6500000000
12359 854.6600000000
13252 866.6100000000
14645 867.7200000000
14996 880.9300000000
15177 887.9100000000
15393 890.5700000000
15794 892.2300000000
15926 895.7800000000
17061 898.0100000000
18697 905.3400000000
18910 912.3800000000
18913 917.7700000000
18930 923.2700000000
19006 923.3000000000
20264 930.3400000000
20745 937.1300000000
22234 948.1800000000
22742 948.5500000000
23266 954.5700000000
24370 955.2800000000
27094 961.1800000000
71696 961.6800000000
79901 964.3600000000
80535 970.2700000000
80857 979.6700000000
100000 846.8300000000
