evaluations raw_y
1 -2851.0000000000
2 1172.3536280233
5 1993.7603626077
7 2470.1416068038
8 2740.7710111653
10 2967.2171766628
11 3180.3200885682
13 9265.8234059075
15 10199.8313933995
16 11612.1651919581
21 14652.3484466444
25 15073.2597320102
27 17802.6761699526
51 19617.2967561254
56 21126.7323409540
81 22230.8183782171
84 22670.4706644910
121 23286.7277985478
142 23540.5616990539
160 23838.8698555555
256 23960.6397906428
272 23977.6447076413
336 24093.3657468291
481 24110.9883494809
1201 24141.1955165932
1237 24208.2911614346
1364 24320.4852809492
1430 24409.0059315259
1604 24526.3317848124
2287 24629.2521110309
2572 24638.1065178607
3013 24738.4419062488
3440 24743.9735594998
3752 24867.5550445307
4182 24967.8932493785
4231 25168.5701884427
5417 25168.5724793220
5506 25369.2483649381
7754 25376.0336100735
7793 25478.9259423681
8830 25581.7986139620
9528 25770.7367397339
15488 26024.9322369183
15962 26125.3582987967
17373 26163.8268234328
17437 26225.7854523233
17531 26360.1286998638
18425 26364.6439207228
22541 26627.4915155448
23083 26761.7883365452
23343 26855.7740840286
23663 27056.5982037005
24327 27159.7552895511
95333 27260.1638083112
100000 2174.1810633412
