evaluations raw_y
1 31.0000000000
11 32.0000000000
30 33.0000000000
163 34.0000000000
314 36.0000000000
598 37.0000000000
6405 38.0000000000
22339 39.0000000000
125000 23.0000000000
evaluations raw_y
1 17.0000000000
2 29.0000000000
30 33.0000000000
46 34.0000000000
806 35.0000000000
1840 36.0000000000
4333 37.0000000000
10338 38.0000000000
31915 39.0000000000
90880 42.0000000000
125000 26.0000000000
evaluations raw_y
1 21.0000000000
2 24.0000000000
3 29.0000000000
17 33.0000000000
145 36.0000000000
2817 37.0000000000
8089 38.0000000000
25659 39.0000000000
125000 18.0000000000
evaluations raw_y
1 29.0000000000
14 30.0000000000
30 33.0000000000
461 34.0000000000
898 35.0000000000
1500 36.0000000000
4848 39.0000000000
22474 40.0000000000
125000 27.0000000000
evaluations raw_y
1 25.0000000000
3 31.0000000000
34 35.0000000000
498 37.0000000000
999 38.0000000000
9502 39.0000000000
95453 42.0000000000
125000 25.0000000000
evaluations raw_y
1 24.0000000000
3 29.0000000000
22 31.0000000000
32 34.0000000000
193 37.0000000000
658 38.0000000000
17733 40.0000000000
125000 14.0000000000
evaluations raw_y
1 21.0000000000
2 26.0000000000
6 27.0000000000
8 28.0000000000
15 29.0000000000
19 31.0000000000
53 32.0000000000
87 34.0000000000
233 35.0000000000
319 37.0000000000
10446 38.0000000000
39464 39.0000000000
125000 23.0000000000
evaluations raw_y
1 17.0000000000
2 33.0000000000
18 34.0000000000
151 35.0000000000
335 37.0000000000
18521 38.0000000000
21909 39.0000000000
125000 26.0000000000
evaluations raw_y
1 27.0000000000
2 29.0000000000
28 30.0000000000
36 33.0000000000
49 35.0000000000
1068 36.0000000000
4888 38.0000000000
31556 39.0000000000
39576 40.0000000000
125000 30.0000000000
evaluations raw_y
1 29.0000000000
12 30.0000000000
16 31.0000000000
31 32.0000000000
113 33.0000000000
454 35.0000000000
2159 36.0000000000
5755 37.0000000000
24462 38.0000000000
26776 39.0000000000
125000 24.0000000000
