evaluations raw_y
1 0.0000000000
2 1.0000000000
9 2.0000000000
10 6.0000000000
46 7.0000000000
103 8.0000000000
1368 9.0000000000
3727 11.0000000000
13201 12.0000000000
13730 14.0000000000
65087 18.0000000000
125000 2.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
14 9.0000000000
1115 11.0000000000
6369 13.0000000000
7299 15.0000000000
15313 16.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
14 3.0000000000
39 4.0000000000
63 11.0000000000
787 12.0000000000
28064 15.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
26 4.0000000000
34 11.0000000000
500 12.0000000000
7198 13.0000000000
37653 16.0000000000
66548 17.0000000000
120509 18.0000000000
125000 1.0000000000
evaluations raw_y
1 3.0000000000
17 5.0000000000
112 8.0000000000
365 9.0000000000
1801 10.0000000000
5275 11.0000000000
9947 13.0000000000
19805 14.0000000000
25510 18.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
5 3.0000000000
19 4.0000000000
73 5.0000000000
81 9.0000000000
1239 11.0000000000
1590 13.0000000000
36332 14.0000000000
71046 15.0000000000
125000 2.0000000000
evaluations raw_y
1 9.0000000000
284 10.0000000000
2915 12.0000000000
4995 15.0000000000
57971 18.0000000000
92452 1.0000000000
