evaluations raw_y
1 -2016.0000000000
2 -1937.0000000000
82 -1921.0000000000
755 -1908.0000000000
1952 -1894.0000000000
10000 -1974.0000000000
evaluations raw_y
1 -2017.0000000000
3 -2008.0000000000
6 -1981.0000000000
14 -1974.0000000000
35 -1963.0000000000
41 -1953.0000000000
51 -1947.0000000000
80 -1944.0000000000
132 -1925.0000000000
434 -1918.0000000000
1382 -1916.0000000000
1888 -1907.0000000000
2896 -1905.0000000000
3418 -1897.0000000000
4248 -1890.0000000000
10000 -1944.0000000000
evaluations raw_y
1 -2004.0000000000
2 -1959.0000000000
34 -1951.0000000000
137 -1906.0000000000
446 -1901.0000000000
3822 -1892.0000000000
10000 -2044.0000000000
evaluations raw_y
1 -2016.0000000000
2 -2003.0000000000
3 -1967.0000000000
26 -1966.0000000000
34 -1963.0000000000
44 -1920.0000000000
850 -1909.0000000000
960 -1902.0000000000
4408 -1895.0000000000
9174 -1887.0000000000
10000 -1959.0000000000
evaluations raw_y
1 -1989.0000000000
4 -1967.0000000000
18 -1959.0000000000
29 -1937.0000000000
52 -1927.0000000000
247 -1917.0000000000
658 -1910.0000000000
903 -1900.0000000000
10000 -2006.0000000000
evaluations raw_y
1 -1949.0000000000
17 -1938.0000000000
245 -1934.0000000000
412 -1930.0000000000
457 -1928.0000000000
482 -1910.0000000000
732 -1898.0000000000
1313 -1891.0000000000
8192 -1880.0000000000
10000 -1990.0000000000
evaluations raw_y
1 -2037.0000000000
2 -1980.0000000000
3 -1968.0000000000
17 -1966.0000000000
19 -1945.0000000000
117 -1931.0000000000
163 -1921.0000000000
1017 -1919.0000000000
1059 -1915.0000000000
1534 -1901.0000000000
3186 -1897.0000000000
3374 -1896.0000000000
10000 -2002.0000000000
evaluations raw_y
1 -2019.0000000000
2 -1984.0000000000
3 -1976.0000000000
11 -1962.0000000000
20 -1931.0000000000
156 -1926.0000000000
427 -1923.0000000000
1180 -1914.0000000000
1463 -1911.0000000000
3616 -1910.0000000000
4141 -1908.0000000000
4631 -1905.0000000000
5701 -1903.0000000000
8205 -1900.0000000000
10000 -1996.0000000000
evaluations raw_y
1 -2021.0000000000
2 -2005.0000000000
6 -1955.0000000000
19 -1938.0000000000
164 -1922.0000000000
444 -1913.0000000000
602 -1912.0000000000
2486 -1900.0000000000
4876 -1898.0000000000
4976 -1875.0000000000
10000 -2018.0000000000
evaluations raw_y
1 -2000.0000000000
3 -1962.0000000000
15 -1959.0000000000
38 -1921.0000000000
653 -1911.0000000000
1561 -1907.0000000000
2156 -1894.0000000000
10000 -2040.0000000000
