evaluations raw_y
1 -213.0000000000
4 -210.0000000000
5 -201.0000000000
14 -197.0000000000
30 -196.0000000000
57 -190.0000000000
261 -188.0000000000
656 -187.0000000000
1319 -186.0000000000
1533 -185.0000000000
1630 -180.0000000000
2583 -175.0000000000
10000 -207.0000000000
evaluations raw_y
1 -195.0000000000
37 -193.0000000000
73 -192.0000000000
82 -180.0000000000
2197 -173.0000000000
10000 -213.0000000000
evaluations raw_y
1 -216.0000000000
2 -187.0000000000
136 -182.0000000000
1435 -180.0000000000
1615 -178.0000000000
10000 -221.0000000000
evaluations raw_y
1 -211.0000000000
2 -194.0000000000
106 -183.0000000000
384 -182.0000000000
481 -180.0000000000
933 -178.0000000000
3963 -175.0000000000
10000 -220.0000000000
evaluations raw_y
1 -219.0000000000
2 -214.0000000000
5 -182.0000000000
1311 -173.0000000000
10000 -202.0000000000
evaluations raw_y
1 -213.0000000000
4 -208.0000000000
7 -193.0000000000
259 -192.0000000000
321 -187.0000000000
332 -185.0000000000
985 -175.0000000000
10000 -227.0000000000
evaluations raw_y
1 -216.0000000000
2 -211.0000000000
3 -205.0000000000
8 -183.0000000000
141 -177.0000000000
2564 -172.0000000000
10000 -206.0000000000
evaluations raw_y
1 -223.0000000000
2 -216.0000000000
3 -210.0000000000
4 -202.0000000000
6 -200.0000000000
13 -197.0000000000
18 -190.0000000000
58 -188.0000000000
370 -182.0000000000
420 -180.0000000000
7102 -179.0000000000
8319 -177.0000000000
9381 -169.0000000000
10000 -214.0000000000
evaluations raw_y
1 -206.0000000000
7 -191.0000000000
60 -184.0000000000
554 -178.0000000000
5595 -172.0000000000
10000 -215.0000000000
evaluations raw_y
1 -213.0000000000
4 -212.0000000000
7 -208.0000000000
9 -204.0000000000
13 -198.0000000000
42 -197.0000000000
75 -195.0000000000
78 -190.0000000000
327 -187.0000000000
545 -186.0000000000
802 -184.0000000000
1993 -183.0000000000
2322 -177.0000000000
3831 -176.0000000000
10000 -212.0000000000
