evaluations raw_y
1 -226.0000000000
2 -215.0000000000
3 -195.0000000000
30 -190.0000000000
79 -184.0000000000
189 -182.0000000000
2985 -177.0000000000
7192 -176.0000000000
10000 -211.0000000000
evaluations raw_y
1 -222.0000000000
2 -196.0000000000
20 -194.0000000000
38 -190.0000000000
150 -188.0000000000
204 -180.0000000000
453 -179.0000000000
1011 -177.0000000000
10000 -230.0000000000
evaluations raw_y
1 -213.0000000000
2 -199.0000000000
19 -194.0000000000
37 -189.0000000000
247 -182.0000000000
877 -180.0000000000
4917 -174.0000000000
5985 -171.0000000000
10000 -215.0000000000
evaluations raw_y
1 -226.0000000000
2 -193.0000000000
28 -192.0000000000
104 -191.0000000000
123 -187.0000000000
500 -181.0000000000
780 -179.0000000000
1028 -175.0000000000
5298 -172.0000000000
10000 -212.0000000000
evaluations raw_y
1 -210.0000000000
5 -203.0000000000
10 -202.0000000000
17 -201.0000000000
25 -200.0000000000
28 -195.0000000000
32 -177.0000000000
8087 -176.0000000000
10000 -222.0000000000
evaluations raw_y
1 -223.0000000000
2 -215.0000000000
8 -209.0000000000
11 -197.0000000000
19 -192.0000000000
39 -191.0000000000
51 -190.0000000000
77 -177.0000000000
1901 -176.0000000000
2956 -174.0000000000
10000 -238.0000000000
evaluations raw_y
1 -220.0000000000
6 -211.0000000000
9 -208.0000000000
15 -204.0000000000
18 -195.0000000000
29 -193.0000000000
75 -185.0000000000
117 -183.0000000000
429 -181.0000000000
578 -178.0000000000
3913 -175.0000000000
6912 -169.0000000000
10000 -199.0000000000
evaluations raw_y
1 -236.0000000000
2 -200.0000000000
14 -197.0000000000
31 -194.0000000000
77 -190.0000000000
119 -188.0000000000
1589 -183.0000000000
1616 -180.0000000000
1718 -177.0000000000
6632 -176.0000000000
10000 -206.0000000000
evaluations raw_y
1 -227.0000000000
2 -210.0000000000
3 -203.0000000000
6 -197.0000000000
35 -196.0000000000
43 -190.0000000000
180 -183.0000000000
1257 -182.0000000000
1857 -181.0000000000
3695 -180.0000000000
6770 -179.0000000000
8960 -178.0000000000
9670 -174.0000000000
10000 -210.0000000000
evaluations raw_y
1 -212.0000000000
2 -204.0000000000
27 -203.0000000000
31 -200.0000000000
34 -187.0000000000
112 -184.0000000000
1019 -181.0000000000
2291 -171.0000000000
10000 -215.0000000000
