eval,mean_best_f,std_best_f
1,-2851.0,0.0
2,1172.353628023347,0.0
3,1172.353628023347,0.0
4,1172.353628023347,0.0
5,1993.7603626076757,0.0
6,1993.7603626076757,0.0
7,2470.1416068037906,0.0
8,2740.7710111653273,0.0
9,2740.7710111653273,0.0
10,2967.2171766628408,0.0
11,3180.32008856823,0.0
12,3180.32008856823,0.0
13,9265.82340590754,0.0
14,9265.82340590754,0.0
15,10199.831393399521,0.0
16,11612.16519195805,0.0
17,11612.16519195805,0.0
18,11612.16519195805,0.0
19,11612.16519195805,0.0
20,11612.16519195805,0.0
21,14652.348446644362,0.0
22,14652.348446644362,0.0
23,14652.348446644362,0.0
24,14652.348446644362,0.0
25,15073.259732010152,0.0
26,15073.259732010152,0.0
27,17802.676169952592,0.0
28,17802.676169952592,0.0
29,17802.676169952592,0.0
30,17802.676169952592,0.0
31,17802.676169952592,0.0
32,17802.676169952592,0.0
33,17802.676169952592,0.0
34,17802.676169952592,0.0
35,17802.676169952592,0.0
36,17802.676169952592,0.0
37,17802.676169952592,0.0
38,17802.676169952592,0.0
39,17802.676169952592,0.0
40,17802.676169952592,0.0
41,17802.676169952592,0.0
42,17802.676169952592,0.0
43,17802.676169952592,0.0
44,17802.676169952592,0.0
45,17802.676169952592,0.0
46,17802.676169952592,0.0
47,17802.676169952592,0.0
48,17802.676169952592,0.0
49,17802.676169952592,0.0
50,17802.676169952592,0.0
51,19617.29675612544,0.0
52,19617.29675612544,0.0
53,19617.29675612544,0.0
54,19617.29675612544,0.0
55,19617.29675612544,0.0
56,21126.73234095403,0.0
57,21126.73234095403,0.0
58,21126.73234095403,0.0
59,21126.73234095403,0.0
60,21126.73234095403,0.0
61,21126.73234095403,0.0
62,21126.73234095403,0.0
63,21126.73234095403,0.0
64,21126.73234095403,0.0
65,21126.73234095403,0.0
66,21126.73234095403,0.0
67,21126.73234095403,0.0
68,21126.73234095403,0.0
69,21126.73234095403,0.0
70,21126.73234095403,0.0
71,21126.73234095403,0.0
72,21126.73234095403,0.0
73,21126.73234095403,0.0
74,21126.73234095403,0.0
75,21126.73234095403,0.0
76,21126.73234095403,0.0
77,21126.73234095403,0.0
78,21126.73234095403,0.0
79,21126.73234095403,0.0
80,21126.73234095403,0.0
81,22230.818378217104,0.0
82,22230.818378217104,0.0
83,22230.818378217104,0.0
84,22670.470664491033,0.0
85,22670.470664491033,0.0
86,22670.470664491033,0.0
87,22670.470664491033,0.0
88,22670.470664491033,0.0
89,22670.470664491033,0.0
90,22670.470664491033,0.0
91,22670.470664491033,0.0
92,22670.470664491033,0.0
93,22670.470664491033,0.0
94,22670.470664491033,0.0
95,22670.470664491033,0.0
96,22670.470664491033,0.0
97,22670.470664491033,0.0
98,22670.470664491033,0.0
99,22670.470664491033,0.0
100,22670.470664491033,0.0
101,22670.470664491033,0.0
102,22670.470664491033,0.0
103,22670.470664491033,0.0
104,22670.470664491033,0.0
105,22670.470664491033,0.0
106,22670.470664491033,0.0
107,22670.470664491033,0.0
108,22670.470664491033,0.0
109,22670.470664491033,0.0
110,22670.470664491033,0.0
111,22670.470664491033,0.0
112,22670.470664491033,0.0
113,22670.470664491033,0.0
114,22670.470664491033,0.0
115,22670.470664491033,0.0
116,22670.470664491033,0.0
117,22670.470664491033,0.0
118,22670.470664491033,0.0
119,22670.470664491033,0.0
120,22670.470664491033,0.0
121,23286.727798547792,0.0
122,23286.727798547792,0.0
123,23286.727798547792,0.0
124,23286.727798547792,0.0
125,23286.727798547792,0.0
126,23286.727798547792,0.0
127,23286.727798547792,0.0
128,23286.727798547792,0.0
129,23286.727798547792,0.0
130,23286.727798547792,0.0
131,23286.727798547792,0.0
132,23286.727798547792,0.0
133,23286.727798547792,0.0
134,23286.727798547792,0.0
135,23286.727798547792,0.0
136,23286.727798547792,0.0
137,23286.727798547792,0.0
138,23286.727798547792,0.0
139,23286.727798547792,0.0
140,23286.727798547792,0.0
141,23286.727798547792,0.0
142,23540.56169905395,0.0
143,23540.56169905395,0.0
144,23540.56169905395,0.0
145,23540.56169905395,0.0
146,23540.56169905395,0.0
147,23540.56169905395,0.0
148,23540.56169905395,0.0
149,23540.56169905395,0.0
150,23540.56169905395,0.0
151,23540.56169905395,0.0
152,23540.56169905395,0.0
153,23540.56169905395,0.0
154,23540.56169905395,0.0
155,23540.56169905395,0.0
156,23540.56169905395,0.0
157,23540.56169905395,0.0
158,23540.56169905395,0.0
159,23540.56169905395,0.0
160,23838.869855555542,0.0
161,23838.869855555542,0.0
162,23838.869855555542,0.0
163,23838.869855555542,0.0
164,23838.869855555542,0.0
165,23838.869855555542,0.0
166,23838.869855555542,0.0
167,23838.869855555542,0.0
168,23838.869855555542,0.0
169,23838.869855555542,0.0
170,23838.869855555542,0.0
171,23838.869855555542,0.0
172,23838.869855555542,0.0
173,23838.869855555542,0.0
174,23838.869855555542,0.0
175,23838.869855555542,0.0
176,23838.869855555542,0.0
177,23838.869855555542,0.0
178,23838.869855555542,0.0
179,23838.869855555542,0.0
180,23838.869855555542,0.0
181,23838.869855555542,0.0
182,23838.869855555542,0.0
183,23838.869855555542,0.0
184,23838.869855555542,0.0
185,23838.869855555542,0.0
186,23838.869855555542,0.0
187,23838.869855555542,0.0
188,23838.869855555542,0.0
189,23838.869855555542,0.0
190,23838.869855555542,0.0
191,23838.869855555542,0.0
192,23838.869855555542,0.0
193,23838.869855555542,0.0
194,23838.869855555542,0.0
195,23838.869855555542,0.0
196,23838.869855555542,0.0
197,23838.869855555542,0.0
198,23838.869855555542,0.0
199,23838.869855555542,0.0
200,23838.869855555542,0.0
201,23838.869855555542,0.0
202,23838.869855555542,0.0
203,23838.869855555542,0.0
204,23838.869855555542,0.0
205,23838.869855555542,0.0
206,23838.869855555542,0.0
207,23838.869855555542,0.0
208,23838.869855555542,0.0
209,23838.869855555542,0.0
210,23838.869855555542,0.0
211,23838.869855555542,0.0
212,23838.869855555542,0.0
213,23838.869855555542,0.0
214,23838.869855555542,0.0
215,23838.869855555542,0.0
216,23838.869855555542,0.0
217,23838.869855555542,0.0
218,23838.869855555542,0.0
219,23838.869855555542,0.0
220,23838.869855555542,0.0
221,23838.869855555542,0.0
222,23838.869855555542,0.0
223,23838.869855555542,0.0
224,23838.869855555542,0.0
225,23838.869855555542,0.0
226,23838.869855555542,0.0
227,23838.869855555542,0.0
228,23838.869855555542,0.0
229,23838.869855555542,0.0
230,23838.869855555542,0.0
231,23838.869855555542,0.0
232,23838.869855555542,0.0
233,23838.869855555542,0.0
234,23838.869855555542,0.0
235,23838.869855555542,0.0
236,23838.869855555542,0.0
237,23838.869855555542,0.0
238,23838.869855555542,0.0
239,23838.869855555542,0.0
240,23838.869855555542,0.0
241,23838.869855555542,0.0
242,23838.869855555542,0.0
243,23838.869855555542,0.0
244,23838.869855555542,0.0
245,23838.869855555542,0.0
246,23838.869855555542,0.0
247,23838.869855555542,0.0
248,23838.869855555542,0.0
249,23838.869855555542,0.0
250,23838.869855555542,0.0
251,23838.869855555542,0.0
252,23838.869855555542,0.0
253,23838.869855555542,0.0
254,23838.869855555542,0.0
255,23838.869855555542,0.0
256,23960.63979064279,0.0
257,23960.63979064279,0.0
258,23960.63979064279,0.0
259,23960.63979064279,0.0
260,23960.63979064279,0.0
261,23960.63979064279,0.0
262,23960.63979064279,0.0
263,23960.63979064279,0.0
264,23960.63979064279,0.0
265,23960.63979064279,0.0
266,23960.63979064279,0.0
267,23960.63979064279,0.0
268,23960.63979064279,0.0
269,23960.63979064279,0.0
270,23960.63979064279,0.0
271,23960.63979064279,0.0
272,23977.64470764132,0.0
273,23977.64470764132,0.0
274,23977.64470764132,0.0
275,23977.64470764132,0.0
276,23977.64470764132,0.0
277,23977.64470764132,0.0
278,23977.64470764132,0.0
279,23977.64470764132,0.0
280,23977.64470764132,0.0
281,23977.64470764132,0.0
282,23977.64470764132,0.0
283,23977.64470764132,0.0
284,23977.64470764132,0.0
285,23977.64470764132,0.0
286,23977.64470764132,0.0
287,23977.64470764132,0.0
288,23977.64470764132,0.0
289,23977.64470764132,0.0
290,23977.64470764132,0.0
291,23977.64470764132,0.0
292,23977.64470764132,0.0
293,23977.64470764132,0.0
294,23977.64470764132,0.0
295,23977.64470764132,0.0
296,23977.64470764132,0.0
297,23977.64470764132,0.0
298,23977.64470764132,0.0
299,23977.64470764132,0.0
300,23977.64470764132,0.0
301,23977.64470764132,0.0
302,23977.64470764132,0.0
303,23977.64470764132,0.0
304,23977.64470764132,0.0
305,23977.64470764132,0.0
306,23977.64470764132,0.0
307,23977.64470764132,0.0
308,23977.64470764132,0.0
309,23977.64470764132,0.0
310,23977.64470764132,0.0
311,23977.64470764132,0.0
312,23977.64470764132,0.0
313,23977.64470764132,0.0
314,23977.64470764132,0.0
315,23977.64470764132,0.0
316,23977.64470764132,0.0
317,23977.64470764132,0.0
318,23977.64470764132,0.0
319,23977.64470764132,0.0
320,23977.64470764132,0.0
321,23977.64470764132,0.0
322,23977.64470764132,0.0
323,23977.64470764132,0.0
324,23977.64470764132,0.0
325,23977.64470764132,0.0
326,23977.64470764132,0.0
327,23977.64470764132,0.0
328,23977.64470764132,0.0
329,23977.64470764132,0.0
330,23977.64470764132,0.0
331,23977.64470764132,0.0
332,23977.64470764132,0.0
333,23977.64470764132,0.0
334,23977.64470764132,0.0
335,23977.64470764132,0.0
336,24093.365746829077,0.0
337,24093.365746829077,0.0
338,24093.365746829077,0.0
339,24093.365746829077,0.0
340,24093.365746829077,0.0
341,24093.365746829077,0.0
342,24093.365746829077,0.0
343,24093.365746829077,0.0
344,24093.365746829077,0.0
345,24093.365746829077,0.0
346,24093.365746829077,0.0
347,24093.365746829077,0.0
348,24093.365746829077,0.0
349,24093.365746829077,0.0
350,24093.365746829077,0.0
351,24093.365746829077,0.0
352,24093.365746829077,0.0
353,24093.365746829077,0.0
354,24093.365746829077,0.0
355,24093.365746829077,0.0
356,24093.365746829077,0.0
357,24093.365746829077,0.0
358,24093.365746829077,0.0
359,24093.365746829077,0.0
360,24093.365746829077,0.0
361,24093.365746829077,0.0
362,24093.365746829077,0.0
363,24093.365746829077,0.0
364,24093.365746829077,0.0
365,24093.365746829077,0.0
366,24093.365746829077,0.0
367,24093.365746829077,0.0
368,24093.365746829077,0.0
369,24093.365746829077,0.0
370,24093.365746829077,0.0
371,24093.365746829077,0.0
372,24093.365746829077,0.0
373,24093.365746829077,0.0
374,24093.365746829077,0.0
375,24093.365746829077,0.0
376,24093.365746829077,0.0
377,24093.365746829077,0.0
378,24093.365746829077,0.0
379,24093.365746829077,0.0
380,24093.365746829077,0.0
381,24093.365746829077,0.0
382,24093.365746829077,0.0
383,24093.365746829077,0.0
384,24093.365746829077,0.0
385,24093.365746829077,0.0
386,24093.365746829077,0.0
387,24093.365746829077,0.0
388,24093.365746829077,0.0
389,24093.365746829077,0.0
390,24093.365746829077,0.0
391,24093.365746829077,0.0
392,24093.365746829077,0.0
393,24093.365746829077,0.0
394,24093.365746829077,0.0
395,24093.365746829077,0.0
396,24093.365746829077,0.0
397,24093.365746829077,0.0
398,24093.365746829077,0.0
399,24093.365746829077,0.0
400,24093.365746829077,0.0
401,24093.365746829077,0.0
402,24093.365746829077,0.0
403,24093.365746829077,0.0
404,24093.365746829077,0.0
405,24093.365746829077,0.0
406,24093.365746829077,0.0
