evaluations raw_y
1 0.0000000000
2 2.0300000000
3 13.7500000000
4 27.3100000000
8 36.3400000000
10 57.0000000000
27 67.6700000000
31 69.9600000000
32 76.1200000000
50 78.7100000000
56 82.0000000000
64 82.3300000000
68 86.3600000000
69 91.3700000000
80 101.0700000000
81 115.3100000000
83 123.7600000000
90 144.0600000000
99 148.3500000000
104 152.8600000000
108 158.0100000000
112 174.1000000000
118 178.6800000000
123 205.8000000000
271 207.7200000000
272 211.5000000000
285 224.8000000000
286 250.2400000000
308 261.7800000000
331 263.0900000000
350 269.7500000000
362 277.7200000000
415 361.8100000000
478 367.0100000000
493 390.2400000000
504 433.2500000000
620 439.6000000000
621 457.2100000000
635 465.5300000000
711 477.7800000000
726 480.5700000000
767 488.9800000000
776 498.2700000000
785 498.3200000000
788 505.1700000000
793 510.5200000000
800 515.1300000000
1352 517.6900000000
1559 517.8800000000
1654 523.5800000000
1706 531.1100000000
1721 533.3600000000
2068 538.5400000000
2482 542.1300000000
2667 551.5900000000
2742 559.7500000000
2771 649.8600000000
2976 690.1100000000
3019 704.0300000000
3371 731.7300000000
3399 738.6400000000
3433 764.9600000000
3439 783.3500000000
3454 800.3300000000
3499 810.3400000000
3686 817.0300000000
3804 821.0600000000
3917 824.2600000000
4263 833.7500000000
4562 845.1700000000
6440 847.7300000000
7798 851.0400000000
8500 852.3600000000
9827 854.2600000000
9832 855.6400000000
10078 855.8200000000
10158 857.5100000000
11268 874.5800000000
11269 876.0700000000
11280 877.9000000000
11355 882.5000000000
11954 891.2200000000
12076 893.0600000000
12139 893.8600000000
12230 893.8800000000
12280 903.3100000000
12321 908.9900000000
12589 916.5400000000
12735 916.7800000000
12753 928.7800000000
13446 946.5400000000
13612 953.2700000000
15566 953.8200000000
15650 954.0400000000
15656 955.3400000000
15729 961.8000000000
15741 964.0100000000
15760 965.6300000000
15763 969.2300000000
15861 974.7600000000
15862 980.6600000000
15961 987.0300000000
16014 989.4800000000
16087 992.9100000000
16249 1008.4100000000
16275 1013.6400000000
16579 1015.6100000000
16587 1018.6300000000
16592 1021.2500000000
17044 1028.6100000000
19600 1028.6600000000
21317 1034.4900000000
21487 1036.9700000000
22181 1040.5300000000
22947 1042.2700000000
23784 1051.5600000000
24401 1052.8300000000
25982 1056.5200000000
26230 1058.1100000000
26703 1081.4000000000
27223 1082.7500000000
30545 1083.3000000000
31313 1084.4200000000
32216 1084.9800000000
33842 1087.7500000000
34076 1090.4100000000
35946 1092.1000000000
37991 1095.6700000000
100000 940.9800000000
