evaluations raw_y
1 0.0000000000
2 2.0400000000
3 11.1000000000
4 33.3000000000
8 39.5800000000
10 65.2200000000
26 66.1900000000
27 77.1300000000
28 79.8700000000
31 92.8000000000
39 98.6000000000
56 106.1000000000
74 108.4900000000
78 115.7700000000
81 136.9500000000
90 151.5700000000
94 163.9600000000
95 200.0300000000
103 219.7200000000
145 241.1700000000
148 254.8800000000
179 256.8300000000
221 262.6100000000
226 267.6200000000
229 276.0700000000
244 284.6800000000
277 290.6200000000
284 290.6800000000
317 297.1600000000
332 303.1800000000
334 311.9600000000
366 327.3800000000
407 329.1300000000
517 330.2500000000
565 345.9600000000
624 371.3500000000
626 372.1200000000
752 383.4600000000
849 384.0700000000
963 398.9300000000
1005 403.1500000000
1038 403.5100000000
1064 415.9700000000
1259 424.0300000000
1322 429.8400000000
1595 429.8600000000
1781 511.9100000000
1798 519.7200000000
1857 527.2900000000
1859 533.7200000000
1901 540.9600000000
1928 547.5000000000
1931 586.4700000000
2055 588.1000000000
2124 597.3200000000
2153 622.6800000000
2196 632.0100000000
2208 647.1700000000
2293 661.3500000000
2388 673.3000000000
2410 684.0300000000
2431 688.7800000000
2517 694.7900000000
2553 727.6500000000
2615 729.8000000000
2655 730.3000000000
2700 748.1900000000
3450 749.9500000000
3959 755.0600000000
4738 757.4000000000
4913 763.2800000000
5188 774.6600000000
5403 775.8700000000
5782 780.5700000000
6698 791.4100000000
6811 791.7100000000
6866 797.5800000000
7143 806.8600000000
7205 818.8700000000
8369 820.6700000000
8460 837.8600000000
13739 844.5300000000
14002 847.2700000000
14017 851.7500000000
14049 861.9800000000
14095 869.7900000000
15828 872.8500000000
16251 875.3300000000
16255 945.4200000000
16278 950.2700000000
16307 963.8700000000
16323 968.9100000000
16660 971.1600000000
17072 973.2200000000
17278 973.7300000000
17724 980.8800000000
17991 981.8200000000
18007 982.3500000000
18392 993.2600000000
19265 994.0000000000
19891 995.0000000000
28001 995.8400000000
28220 996.6300000000
28339 997.3700000000
28517 999.0200000000
29521 1002.3800000000
29585 1008.6700000000
41882 1012.6200000000
41962 1018.7000000000
42337 1030.6200000000
42468 1033.2600000000
44783 1034.9100000000
44989 1038.8000000000
46169 1044.7700000000
58211 1045.5000000000
66178 1054.3500000000
66572 1061.5200000000
67062 1066.1300000000
67259 1069.7600000000
70292 1081.9400000000
90147 1086.5500000000
92738 1089.7900000000
100000 691.0500000000
