value_f,size
0.0,0
41.390000000000015,1
58.11,2
152.70000000000002,3
168.71000000000006,4
209.47999999999996,5
275.1199999999999,6
300.5,7
313.63999999999993,8
330.18000000000006,9
338.1699999999999,10
444.24000000000007,12
479.0100000000001,13
497.5199999999999,14
507.08000000000004,15
523.69,16
546.91,17
624.1499999999999,18
655.5599999999998,19
659.5800000000002,22
667.0499999999998,23
670.69,24
679.0299999999996,25
775.95,26
806.1899999999998,27
828.0499999999998,28
839.6900000000002,29
840.4100000000001,30
851.0500000000001,31
853.46,33
854.4600000000002,34
858.37,35
862.4400000000002,36
870.2099999999997,38
870.7000000000003,39
872.6299999999998,40
882.8500000000001,41
901.3699999999997,42
909.3900000000001,45
