evaluations raw_y
1 0.0000000000
2 271.0000000000
5 414.0000000000
7 417.0000000000
9 453.0000000000
12 467.0000000000
14 574.0000000000
22 596.0000000000
34 616.0000000000
36 621.0000000000
38 630.0000000000
55 641.0000000000
113 656.0000000000
126 660.0000000000
202 661.0000000000
259 672.0000000000
685 675.0000000000
953 679.0000000000
1035 687.0000000000
1123 694.0000000000
2028 698.0000000000
2122 699.0000000000
2389 702.0000000000
2673 704.0000000000
3069 706.0000000000
5396 707.0000000000
8703 708.0000000000
8859 712.0000000000
10000 116.0000000000
