evaluations raw_y
1 -2851.0000000000
2 -2527.4653485945
3 -2372.7922003252
4 -1327.0026455337
7 -634.5575325721
9 -334.1978148519
12 323.8324949120
15 813.9403022633
18 910.4343260637
21 1001.2310843141
25 1309.9274129548
27 1687.6295119910
29 2439.2249206617
35 2944.0684652399
41 3927.9770408138
51 4725.7362938081
74 5843.6082385645
93 6028.7717995130
100 6837.6795076097
101 7166.4092957962
102 7716.6605526105
105 8460.4048165812
128 9009.8596949398
141 9012.1235291733
145 9811.2475336940
150 10940.7743902567
161 11434.4938323269
168 12325.3080932821
180 13027.3265968213
187 14053.1799642690
188 14541.6453638540
211 15215.4865443876
215 16067.8708735920
240 16273.2261875967
304 16908.6805645577
326 18224.1643140672
336 19099.4229800996
339 19850.5847725288
343 20037.5818965293
355 20813.4348655346
366 21033.8436651562
394 21543.1500230492
400 21819.9499072553
402 22286.4407060031
408 23281.2094144438
457 23448.7981184239
484 24107.5937243864
497 24893.4220194519
540 25497.6272745898
556 26189.9337304425
567 26471.2223554909
568 26517.5805936232
576 26654.5626277811
602 27658.1887119914
640 28647.8653681563
649 29043.6916562195
698 29251.6623380716
757 29539.7762813855
769 29742.8454029682
770 30838.7047268919
789 31103.5224621961
790 31969.8990399660
801 32265.6258554709
809 32493.5924580851
824 33598.1570124307
876 34154.2106374961
885 34644.1619512790
887 35753.4844057417
897 35776.8731717484
912 36181.6222344827
915 38432.3335756001
921 38547.0266336815
939 38612.8009388175
976 38867.7284710108
985 40118.4610635548
1052 41475.0739851582
1061 41488.5061275580
1139 41649.0324711772
1140 41838.5445093644
1157 42632.5314145933
1269 43022.1100127610
1290 43284.5275412320
1295 43888.1744132836
1310 44792.1943067648
1312 44946.1349013928
1346 45148.8739478544
1348 45779.0355856615
1488 46412.2344903864
1595 46668.1012616108
1601 47364.6717594404
1610 48027.0676777981
1626 48787.8788885402
1642 50384.6874932948
1949 50398.7158501068
1962 50461.3573513672
2125 51239.9668829622
2129 51316.9546645922
2250 51761.9339630589
2293 51901.6576746105
2310 52094.4051033577
2311 52776.1020899859
2391 53303.0628411188
2557 54079.6084038337
2670 54110.0419149405
2685 54788.6254952740
2695 55231.5924056973
2706 55719.6115657014
2739 56626.3406777831
2845 57315.2604674206
2871 57646.0641228288
2879 58437.0608352218
2954 59318.9816291995
2990 60291.0225178704
3227 60452.1400964542
3318 60825.5762613529
3330 60989.4487844900
3360 61298.1273878092
3381 62361.2330208656
3397 63503.7319690682
3486 63979.6144026121
3568 64663.8249446814
3571 64790.2838224407
3651 65058.6631557310
3690 65158.5044501581
3695 65178.9034264228
3805 65359.3613527050
3988 65861.2821130659
4052 66304.7864324390
4058 67773.0008807198
4063 68088.9938376810
4068 68650.1897139907
4085 68951.5813836701
4123 69288.0707709705
4214 69309.7153721876
4261 69598.7886189953
4347 70728.6368828796
4483 70994.5432086970
4516 71721.1566234751
4649 73209.4851022859
4864 73323.8229099553
4912 73988.2491296383
4969 74189.1405998023
5017 74917.4141660667
5064 75119.4925692356
5106 75351.0490096914
5130 76351.0056890431
5167 76710.9757105825
5267 77622.5530383689
5356 78291.7277603145
5386 78353.3217781952
5484 78453.0464874442
5486 78677.0913778023
5553 78716.7399052694
5659 79234.9925664300
5803 79513.8319783491
5830 79538.2234648365
5945 80466.7781720431
5976 81196.5283456519
6061 81701.3212779931
6081 81766.5178858637
6159 81886.8414526787
6175 82492.9661305200
6221 84177.9730473329
6222 85745.9875577932
6297 85887.5789498560
6319 86507.5919781005
6323 86582.9036841909
6360 87510.3959041942
6370 88457.0642271724
6554 88692.0184705456
6557 89837.7706602878
6628 90632.3790180482
6735 91143.1643109791
6838 91700.8498702438
6958 92169.7183989684
7021 92957.6061946238
7100 93562.4507252347
7118 95019.2264775405
7139 96452.9794849630
7241 97256.9167979849
7740 97991.0752583506
7820 99318.3329394000
8143 99699.3283835328
8215 100109.9187910479
8393 100118.2306793280
8450 100312.2527384872
8456 100374.0725144179
8630 100900.1118939354
8658 100938.9161959373
8672 101151.5994868474
8707 101193.0637655585
8848 101827.4150575607
8876 101939.7030800890
8950 102679.3561652265
8963 103025.1007394353
8969 103188.7786572403
9239 103222.8126902884
9480 103511.1359809120
9612 104288.6409749284
9738 104997.9372666568
9744 106143.9831516790
9884 106622.3508564663
9914 107312.1785562158
10000 60891.9034839846
