"ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
"GA",1,30,"-211.43","-211.0",10.67,"-233.52","-230.6","-229.1","-215.75","-211.0","-207.0","-200.6","-195.90","-191.22"
"GA",1112,30," -85.40"," -86.5",9.26," -99.42"," -99.0"," -96.3"," -93.00"," -86.5"," -77.5"," -74.7"," -70.35"," -68.16"
"GA",2222,30," -43.50"," -44.5",6.48," -54.84"," -53.5"," -51.2"," -47.00"," -44.5"," -38.2"," -33.9"," -33.00"," -32.58"
"GA",3333,30," -15.67"," -17.0",4.49," -23.42"," -22.5"," -21.1"," -18.00"," -17.0"," -13.2","  -9.0","  -8.45","  -7.16"
"GA",4443,30," 249.13"," 382.5",194.92,"  -5.68","  -4.0","  -2.2","  -1.00"," 382.5"," 400.8"," 407.0"," 407.55"," 409.26"
"GA",5554,30," 409.13"," 411.0",8.41," 390.90"," 393.0"," 400.2"," 404.25"," 411.0"," 415.8"," 418.1"," 419.00"," 419.42"
"GA",6664,30," 416.33"," 417.0",6.87," 404.16"," 405.4"," 406.9"," 411.25"," 417.0"," 422.0"," 424.1"," 425.00"," 426.68"
"GA",7775,30," 419.67"," 420.0",5.57," 410.16"," 411.0"," 411.9"," 416.00"," 420.0"," 422.8"," 426.1"," 428.10"," 430.26"
"GA",8885,30," 421.33"," 422.0",5.11," 412.16"," 413.9"," 415.0"," 417.50"," 422.0"," 424.0"," 428.1"," 429.00"," 430.26"
"GA",9996,30," 422.40"," 422.0",5.3," 412.16"," 414.4"," 416.0"," 418.25"," 422.0"," 427.0"," 429.0"," 429.00"," 430.26"
"OnePlusOne_EA",1,30,"-211.43","-211.0",10.67,"-233.52","-230.6","-229.1","-215.75","-211.0","-207.0","-200.6","-195.90","-191.22"
"OnePlusOne_EA",1112,30," -50.97"," -52.0",6.29," -60.26"," -59.0"," -58.1"," -53.75"," -52.0"," -47.5"," -40.9"," -39.45"," -37.74"
"OnePlusOne_EA",2222,30," -11.87"," -12.0",4.63," -20.42"," -19.6"," -18.1"," -15.00"," -12.0","  -9.0","  -5.0","  -4.45","  -4.00"
"OnePlusOne_EA",3333,30," 233.37"," 377.0",195.69,"  -3.42","  -3.0","  -2.1","  -1.75"," 377.0"," 394.8"," 402.1"," 403.55"," 405.68"
"OnePlusOne_EA",4443,30," 403.67"," 404.0",5.92," 391.58"," 392.9"," 394.9"," 400.25"," 404.0"," 408.0"," 410.0"," 411.10"," 412.00"
"OnePlusOne_EA",5554,30," 410.10"," 410.5",6.12," 398.74"," 400.0"," 402.7"," 406.50"," 410.5"," 414.8"," 417.0"," 417.55"," 420.52"
"OnePlusOne_EA",6664,30," 413.73"," 415.0",6.86," 401.16"," 402.5"," 403.9"," 408.25"," 415.0"," 418.5"," 422.2"," 424.00"," 424.84"
"OnePlusOne_EA",7775,30," 416.17"," 416.0",5.84," 406.16"," 407.5"," 408.0"," 412.25"," 416.0"," 420.0"," 423.3"," 426.00"," 426.42"
"OnePlusOne_EA",8885,30," 417.70"," 417.5",5.43," 407.16"," 408.9"," 410.9"," 414.25"," 417.5"," 421.0"," 425.1"," 426.00"," 426.84"
"OnePlusOne_EA",9996,30," 419.20"," 418.5",5.2," 409.16"," 410.4"," 413.7"," 416.00"," 418.5"," 423.8"," 426.0"," 426.55"," 427.42"
"RLS",1,30,"-211.43","-211.0",10.67,"-233.52","-230.6","-229.1","-215.75","-211.0","-207.0","-200.6","-195.90","-191.22"
"RLS",1112,30,"  -9.13","  -8.0",4.18," -18.84"," -16.6"," -14.1"," -11.75","  -8.0","  -6.0","  -5.0","  -5.00","  -3.74"
"RLS",2222,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",3333,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",4443,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",5554,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",6664,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",7775,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",8885,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
"RLS",9996,30," 385.00"," 385.5",13.34," 356.48"," 362.6"," 367.0"," 378.00"," 385.5"," 392.8"," 402.1"," 403.55"," 404.42"
