value_f,size
0.0,0
106.92000000000002,1
305.44,2
445.1999999999999,3
465.9600000000002,4
482.36000000000024,5
499.59,6
517.62,7
591.6400000000001,8
648.5400000000001,9
666.0800000000002,10
669.26,11
681.9099999999999,12
695.9500000000002,13
701.0400000000004,15
712.1800000000002,16
720.5299999999996,17
755.65,18
768.5100000000001,20
822.6200000000001,21
861.03,22
868.5900000000001,23
871.5700000000002,25
885.7900000000001,26
890.3700000000002,27
902.4200000000002,28
906.7000000000006,29
915.5699999999998,30
916.95,33
922.1700000000002,34
927.2500000000002,36
933.4500000000003,37
950.6000000000005,43
957.3599999999998,44
