evaluations raw_y
1 0.0000000000
2 248.0000000000
3 299.0000000000
4 324.0000000000
5 373.0000000000
6 408.0000000000
9 435.0000000000
14 471.0000000000
30 486.0000000000
36 501.0000000000
44 512.0000000000
63 524.0000000000
129 530.0000000000
136 535.0000000000
186 536.0000000000
215 541.0000000000
962 544.0000000000
1229 550.0000000000
1694 556.0000000000
3302 557.0000000000
5850 558.0000000000
6637 561.0000000000
8706 565.0000000000
9506 566.0000000000
10000 353.0000000000
evaluations raw_y
10001 0.0000000000
10002 165.0000000000
10004 246.0000000000
10005 310.0000000000
10006 351.0000000000
10009 464.0000000000
10010 493.0000000000
10012 507.0000000000
10072 508.0000000000
10089 509.0000000000
10129 520.0000000000
10135 527.0000000000
10151 529.0000000000
10315 537.0000000000
10437 538.0000000000
10447 543.0000000000
10453 544.0000000000
10490 547.0000000000
10541 550.0000000000
10779 552.0000000000
10879 554.0000000000
11201 557.0000000000
11376 559.0000000000
13940 560.0000000000
14292 561.0000000000
16792 562.0000000000
evaluations raw_y
20001 0.0000000000
20002 144.0000000000
20003 218.0000000000
20004 265.0000000000
20005 322.0000000000
20006 357.0000000000
20007 383.0000000000
20010 425.0000000000
20013 440.0000000000
20021 472.0000000000
20036 485.0000000000
20044 489.0000000000
20060 491.0000000000
20061 498.0000000000
20072 512.0000000000
20082 519.0000000000
20154 526.0000000000
20159 528.0000000000
20180 529.0000000000
20214 530.0000000000
20403 533.0000000000
20481 536.0000000000
20689 537.0000000000
20787 540.0000000000
20810 541.0000000000
20994 544.0000000000
21231 545.0000000000
21392 547.0000000000
21803 549.0000000000
21945 552.0000000000
22031 556.0000000000
22065 558.0000000000
23281 560.0000000000
23666 561.0000000000
23807 562.0000000000
25810 565.0000000000
evaluations raw_y
30001 0.0000000000
30002 85.0000000000
30003 157.0000000000
30004 247.0000000000
30006 365.0000000000
30007 375.0000000000
30013 435.0000000000
30020 437.0000000000
30021 462.0000000000
30022 488.0000000000
30031 493.0000000000
30033 502.0000000000
30038 516.0000000000
30076 517.0000000000
30103 520.0000000000
30164 539.0000000000
30428 540.0000000000
30435 544.0000000000
30477 550.0000000000
30767 553.0000000000
31636 554.0000000000
32935 557.0000000000
33600 558.0000000000
35316 559.0000000000
35425 561.0000000000
35552 563.0000000000
38504 564.0000000000
evaluations raw_y
40001 0.0000000000
40002 62.0000000000
40003 179.0000000000
40004 319.0000000000
40012 354.0000000000
40013 368.0000000000
40024 388.0000000000
40026 454.0000000000
40029 500.0000000000
40075 502.0000000000
40077 512.0000000000
40104 523.0000000000
40166 525.0000000000
40173 531.0000000000
40240 532.0000000000
40378 538.0000000000
40379 543.0000000000
40575 545.0000000000
41093 551.0000000000
41356 554.0000000000
43812 558.0000000000
46950 562.0000000000
evaluations raw_y
50001 0.0000000000
50002 103.0000000000
50003 274.0000000000
50005 398.0000000000
50009 399.0000000000
50011 430.0000000000
50015 453.0000000000
50017 478.0000000000
50028 496.0000000000
50046 497.0000000000
50065 508.0000000000
50068 509.0000000000
50101 510.0000000000
50127 512.0000000000
50146 514.0000000000
50158 532.0000000000
50304 533.0000000000
50314 534.0000000000
50371 535.0000000000
50406 536.0000000000
50639 537.0000000000
50649 539.0000000000
50757 542.0000000000
50792 543.0000000000
50856 544.0000000000
50908 545.0000000000
51443 547.0000000000
52127 548.0000000000
52672 549.0000000000
52688 551.0000000000
52777 556.0000000000
53463 557.0000000000
54492 560.0000000000
56015 562.0000000000
59053 563.0000000000
evaluations raw_y
60001 0.0000000000
60002 67.0000000000
60004 112.0000000000
60005 173.0000000000
60006 247.0000000000
60007 326.0000000000
60016 339.0000000000
60023 379.0000000000
60024 382.0000000000
60026 416.0000000000
60031 421.0000000000
60034 451.0000000000
60036 459.0000000000
60041 489.0000000000
60050 508.0000000000
60077 529.0000000000
60117 530.0000000000
60143 534.0000000000
60144 535.0000000000
60204 539.0000000000
60342 547.0000000000
60382 548.0000000000
60762 549.0000000000
61169 553.0000000000
61965 555.0000000000
62619 557.0000000000
63463 561.0000000000
64630 563.0000000000
68081 564.0000000000
evaluations raw_y
70001 0.0000000000
70002 114.0000000000
70004 156.0000000000
70006 370.0000000000
70007 461.0000000000
70012 480.0000000000
70015 486.0000000000
70019 493.0000000000
70030 505.0000000000
70070 506.0000000000
70072 519.0000000000
70155 520.0000000000
70294 521.0000000000
70303 525.0000000000
70381 533.0000000000
70394 534.0000000000
70435 541.0000000000
70667 542.0000000000
70722 544.0000000000
70725 545.0000000000
70795 546.0000000000
70874 549.0000000000
71185 551.0000000000
71526 557.0000000000
73273 558.0000000000
73611 559.0000000000
74229 560.0000000000
74628 561.0000000000
74652 563.0000000000
77810 564.0000000000
79508 565.0000000000
evaluations raw_y
80001 0.0000000000
80002 145.0000000000
80004 285.0000000000
80007 343.0000000000
80009 382.0000000000
80011 432.0000000000
80014 467.0000000000
80019 485.0000000000
80026 498.0000000000
80045 508.0000000000
80050 516.0000000000
80062 524.0000000000
80149 527.0000000000
