evaluations raw_y
1 0.0000000000
2 1.9200000000
3 16.6300000000
4 33.4500000000
6 38.6200000000
10 55.4000000000
26 55.4600000000
27 69.4300000000
43 85.9200000000
48 90.0900000000
54 225.4900000000
77 236.2800000000
80 244.9900000000
86 245.1700000000
87 246.7800000000
89 260.7700000000
91 269.4400000000
92 280.0700000000
132 284.1000000000
168 287.8800000000
174 295.5400000000
177 305.0700000000
185 306.1500000000
196 318.8600000000
217 323.3200000000
231 424.6400000000
266 443.5600000000
296 444.2800000000
476 450.8000000000
524 490.5000000000
527 496.8600000000
529 512.2400000000
536 539.4200000000
821 544.3100000000
951 546.0700000000
963 546.7000000000
1203 656.0600000000
1235 667.0200000000
1381 670.1200000000
2953 673.0300000000
5299 673.5400000000
6169 675.7400000000
6173 691.3200000000
6216 694.1700000000
6316 695.9600000000
6342 750.0100000000
6686 754.8400000000
6756 772.7300000000
10000 624.9400000000
evaluations raw_y
10001 0.0000000000
10002 22.5800000000
10006 38.8400000000
10017 38.8500000000
10018 47.5600000000
10019 63.1500000000
10028 90.7900000000
10037 100.5800000000
10042 116.0100000000
10061 117.8800000000
10067 130.6400000000
10083 148.4200000000
10116 149.1700000000
10126 150.3500000000
10133 168.7700000000
10152 175.9700000000
10189 314.7500000000
10219 332.0800000000
10279 337.6300000000
10364 341.3100000000
10394 346.9700000000
10404 350.2900000000
10552 354.2400000000
11091 354.9700000000
11180 361.4000000000
11208 425.2700000000
11209 445.4100000000
11213 448.7800000000
11214 450.5000000000
11216 456.3700000000
11243 459.1700000000
11287 459.4900000000
11326 467.2300000000
11365 471.9100000000
11410 475.1100000000
11577 475.8500000000
11630 486.4400000000
11674 491.1400000000
11814 492.6100000000
11837 495.6000000000
11944 497.4000000000
12111 509.4000000000
12173 509.8700000000
12288 517.7200000000
12332 521.5600000000
12343 546.0600000000
12359 548.2800000000
12381 551.3300000000
12382 564.9900000000
12417 568.0000000000
12426 574.7900000000
12458 576.2700000000
12547 591.3200000000
12586 594.7600000000
12763 602.4300000000
13001 692.3000000000
