evaluations raw_y
1 -2851.0000000000
2 1172.3536280233
5 1993.7603626077
7 2470.1416068038
8 2740.7710111653
10 2967.2171766628
11 3180.3200885682
13 9265.8234059075
15 10199.8313933995
16 11612.1651919581
21 14652.3484466444
25 15073.2597320102
27 17802.6761699526
51 19617.2967561254
56 21126.7323409540
81 22230.8183782171
84 22670.4706644910
121 23286.7277985478
142 23540.5616990539
160 23838.8698555555
256 23960.6397906428
272 23977.6447076413
336 24093.3657468291
481 24110.9883494809
1201 24141.1955165932
1237 24208.2911614346
1364 24320.4852809492
1430 24409.0059315259
1604 24526.3317848124
2287 24629.2521110309
2572 24638.1065178607
3013 24738.4419062488
3440 24743.9735594998
3752 24867.5550445307
4182 24967.8932493785
4231 25168.5701884427
5417 25168.5724793220
5506 25369.2483649381
7754 25376.0336100735
7793 25478.9259423681
8830 25581.7986139620
9528 25770.7367397339
10000 -162742.1000000000
evaluations raw_y
10001 -2851.0000000000
10002 1603.7897688158
10003 2081.1949854411
10004 2405.1325835138
10005 2718.0480064387
10006 3905.2806976245
10013 5388.6956573120
10017 6778.7507927579
10018 8983.7134837092
10026 9730.2687098092
10029 11097.0103115868
10033 11506.0177341512
10040 14857.5923859068
10045 16800.3048457470
10058 17650.9906886145
10062 20035.2034407784
10072 20559.2679907333
10082 21622.0774603535
10086 22671.4246519445
10107 23048.2692624372
10202 23284.6262173756
10250 23386.7322864423
10297 23641.4677910459
10394 23665.0090858421
10688 23821.5788243237
10760 23931.6394376691
10800 24031.9141671685
10974 24066.3199088689
11005 24333.5875975094
11051 24534.1288976311
11417 24643.7092040575
11684 24844.2278925253
11792 24946.7282904266
12607 25046.9847085780
12609 25098.7852888935
12891 25299.3316065861
13513 25401.8840103148
14737 25715.1820323417
14837 25926.3420285968
15021 25926.9565168760
15060 25958.6678693952
15071 26360.4352699960
17966 26561.0784973590
18637 26663.7227976644
20000 -160363.1000000000
evaluations raw_y
20001 -2851.0000000000
20002 -2430.6838842572
20003 99.8223973859
20004 927.5589425499
20007 2082.8783246100
20010 3246.4613073718
20012 4851.2329101681
20013 7866.1522936138
20018 9324.3448787170
20027 11402.5385238619
20030 12841.6077391536
20031 13131.3250554963
20032 16345.5328605295
20041 17706.0736930135
20044 18263.8205075431
20064 18501.1508516329
20086 19136.4346006338
20087 19364.1251802024
20091 19814.0129581307
20097 19975.0026977282
20142 20884.5688845080
20167 21674.6173668487
20172 21866.1069732334
20177 22555.9197898375
20184 22656.3844628740
20186 23095.8283289552
20227 23383.1371974799
20282 23594.7875491006
20294 23716.9011187653
20405 23832.1321011620
20510 23915.7323934944
20687 24315.5580020647
20700 24515.4660731871
20766 24615.9079215954
21307 24715.3740601310
21447 24725.4380537138
21803 24947.4797206870
26413 25002.6957732610
26560 25115.1690214502
26660 25216.9440431033
28222 25319.9720299688
evaluations raw_y
30001 -2851.0000000000
30002 -594.9969832619
30003 122.7272782163
30004 1541.2460623566
30007 4335.8298356295
30008 5998.6807735288
30011 7535.9542620045
30013 8100.5073382302
30015 9415.7133400168
30020 12457.5123675815
30026 14381.0669860994
30037 14835.9280873774
30041 16244.6052841399
30047 16776.2360923637
30053 17736.4984938666
30056 19129.7375612862
30063 19813.6486137270
30065 19994.1280188137
30068 20048.9068219439
30073 22092.1787814344
30084 22348.1281223646
30087 22485.4447231615
30095 22508.5620320240
30141 23011.0528113702
30165 23875.5124459595
30191 24001.9269811367
30199 24102.5693913700
30266 24420.9965039464
30352 24545.5677150046
30388 24559.0763743156
30393 24680.8357697286
30427 24694.7298633962
30535 24794.8681598368
32963 24856.8963584302
32990 24987.3164194283
33093 25089.7370333098
34168 25168.2091131155
34639 25455.0010320626
34994 25555.4406190313
35643 25558.2917580475
evaluations raw_y
40001 -2851.0000000000
40002 -1022.8703802148
40003 -787.8254869700
40004 -501.5766604928
40005 766.4051032747
40006 1196.1023466854
40008 2740.3091363662
40013 3067.2899181901
40014 4222.6094738800
40015 4977.3940518941
40023 5019.5208577949
40029 6180.3208895375
40032 6386.6273213248
40033 7432.7123661380
40034 9238.8801552035
40042 10030.8024085560
40044 11037.0995482705
40051 11341.3026428686
40052 12803.2746231112
40059 13427.0241641907
40062 16247.6967512221
40065 18512.2124406320
40100 20465.8388679423
40111 23452.8843610310
40159 23887.6957669029
40238 24087.9959804567
40348 24513.1526679977
41118 24613.2246372652
41269 24614.7971099732
41490 24692.9557554888
41538 24717.4149158512
41819 24837.8977658700
42816 24890.3641950165
42998 25012.0670884365
43079 25112.1900045464
44825 25186.3442105359
45563 25288.3404223453
45596 25409.3706298539
46179 25695.0491432882
46255 25752.6556876959
46315 25859.8814108979
47250 25874.2642560118
47590 25981.3134923640
48866 26071.3622002505
49857 26316.0313277388
evaluations raw_y
50001 -2851.0000000000
50002 -1282.2993052969
50004 -28.3475135467
50005 1447.0704013843
50008 3385.0193297928
50012 5499.7703852944
50014 7354.0776785755
50023 8138.4294020660
50027 8412.3952357439
50029 8883.0584908792
50032 9928.9903625969
50035 11058.6137873055
50038 14999.4528176782
50042 16409.0588206797
50049 18184.4467930311
50051 18852.4009250669
50077 19829.1610002503
50083 21694.2874985072
50085 22930.1027741926
50095 23213.7663374650
50096 23746.3163732951
50097 24117.4190278063
50141 24266.0852618694
50619 24354.2439721343
50696 24456.1733228670
50739 24461.7098746741
51460 24617.6747352119
51724 24679.7845256824
53102 24779.9835365391
53719 24927.2559463645
53729 25030.3381800963
53869 25178.8565676276
54184 25296.3848650982
54917 25697.7773260918
58038 25776.6147563213
evaluations raw_y
60001 -2851.0000000000
60002 -2375.7496320409
60003 -1253.3094589208
60004 -1128.8350423323
60007 1314.8991275794
60008 3903.2811759852
60013 4048.5117581292
60014 5601.1149234145
60018 6009.2690430145
60020 8277.5404341480
60022 10334.7331197373
60026 11903.7175308527
60033 12134.2868219106
60039 12253.7855658231
60046 15340.5047493267
60050 16778.3270863673
60072 16981.6713287364
60073 17345.1064793641
60083 19202.4863587293
60092 20345.4562211485
60114 20436.4772775538
60129 21937.3673632261
60165 22061.4192661559
60172 22071.6972937873
60216 22204.9635502585
60244 22307.8424028809
60261 22419.3770602325
60300 22613.4621127216
60334 22733.0925929242
60666 22907.8106119232
60685 22916.8904921200
60691 23205.1208780164
60708 23642.5427477836
61055 23800.7832069008
61123 24001.1893455609
62141 24035.4820863368
62170 24083.8550991119
63822 24641.1290633121
64227 24835.8156765865
64393 24936.1124813677
64634 25046.5794540785
65014 25048.7560386212
66843 25162.5127458543
67689 25162.5128151065
evaluations raw_y
70001 -2851.0000000000
70002 -2405.7356096494
70003 -1726.8268447129
70004 -464.1876399819
70007 2542.9915096059
70009 6101.6470156314
70017 8530.3279636066
70018 11693.9277718725
70025 13164.4408082274
70029 15274.5225642272
70040 16198.0712929973
70043 17751.5893166727
70050 18779.9602369399
70051 21461.4388958514
70054 22017.2759859257
70063 22498.5977197520
70073 22657.0214114930
70081 22753.8403904065
70118 22917.6633344067
70119 22928.6328971362
70121 23083.0838754897
70130 23117.4888794163
70158 23397.6056319151
70197 23584.8799765801
70224 23881.9351632234
70855 24026.2956037109
71316 24177.4286982660
71328 24773.3704580314
71467 24913.1112792310
71692 25232.8808047524
71976 25433.4905038725
72130 25544.0761789864
72636 25787.3532703460
73475 25823.6812689614
73479 25937.9885613911
73889 26067.4331661300
74243 26068.8141851506
74445 26071.9143870988
74642 26084.7995283681
75759 26285.2895481995
77970 26385.5333852219
79664 26387.8173523318
evaluations raw_y
80001 -2851.0000000000
80002 -1545.6923217387
80004 -139.3943706317
80008 3657.3431272984
80016 5186.0202675330
80019 8495.0886190913
80021 10258.9901122325
80023 12861.8420378683
80030 13750.3285821030
80031 15852.4683589754
80034 16248.8920272958
80045 16284.3805533732
80047 16443.5602269032
80051 17176.6007500208
80055 17805.6924879093
80056 18025.7981474480
80059 18051.9520845801
80072 20380.5932365145
80078 20929.3714462378
80096 21612.1699271389
80112 21774.1039907973
80151 22105.8749101335
80158 22329.3564997236
80179 22792.3723231770
80213 23232.9041987971
80376 23359.4380365467
80675 23489.4653730543
80832 23590.7555406777
80841 23601.0304588236
80939 23611.9954755387
81789 23664.7179828237
81832 23766.6010649705
82218 23977.2406228175
83114 24098.6186805941
83196 24201.6017057618
83295 24367.1125898519
83705 24465.0087166695
84434 24567.7562146121
84454 24670.4851972892
86661 24751.2167816089
88665 24851.5533832632
evaluations raw_y
90001 -2851.0000000000
90002 -2658.5284376693
90003 -1247.1530446109
90004 67.8680656956
90005 2555.8753370780
90009 3466.0604796182
90010 4123.1095234791
90012 5914.9530585002
90014 9459.7987991073
90019 12259.7929977087
90025 12935.3851436296
90026 13235.2247527187
90027 14873.2568442655
90032 19768.4607482259
90042 21366.0799769920
90043 21537.4203735751
90048 22419.1457417246
90050 23318.4533501881
90058 23771.9158288191
90065 23906.4167680897
90068 24117.2327214277
90097 24556.0255431317
90173 24706.5590945886
90970 25107.8956974029
90988 25308.5633563766
91336 25330.6660082290
91362 25531.2945611842
91575 25633.8463453829
91654 25705.5245020340
92051 25816.5773737459
92626 25836.7070357439
94106 25842.8127962636
97056 25927.1133769320
97741 26040.0376433816
98009 26142.9400607875
99430 26328.6022914791
evaluations raw_y
100001 -2851.0000000000
100002 -2642.5790773375
100003 632.4632382846
100004 1855.6103741926
100008 2228.5701797637
100016 3065.4115468031
100022 4305.9185496239
100024 5660.2492921261
100026 6073.2737496388
100027 6486.3335343340
100031 6969.8730025872
100034 8790.5540769173
100041 9196.4699745337
100044 10371.9269379965
100045 11346.5844705854
100046 13860.4273164143
100054 14339.2124982554
100058 14794.4257302208
100064 16195.3174625551
100073 17605.7868931696
100074 18312.0943831486
