evaluations raw_y
1 0.0000000000
2 143.0000000000
4 197.0000000000
6 241.0000000000
8 268.0000000000
9 294.0000000000
10 312.0000000000
11 326.0000000000
15 401.0000000000
54 402.0000000000
92 406.0000000000
116 410.0000000000
120 412.0000000000
141 416.0000000000
242 419.0000000000
321 421.0000000000
469 423.0000000000
583 424.0000000000
767 426.0000000000
777 427.0000000000
889 431.0000000000
1048 432.0000000000
1240 436.0000000000
2977 437.0000000000
3262 438.0000000000
3773 440.0000000000
3879 441.0000000000
3922 442.0000000000
6936 444.0000000000
7526 445.0000000000
10000 343.0000000000
evaluations raw_y
10001 0.0000000000
10002 167.0000000000
10004 216.0000000000
10008 258.0000000000
10010 293.0000000000
10011 356.0000000000
10018 370.0000000000
10023 389.0000000000
10032 408.0000000000
10069 411.0000000000
10080 416.0000000000
10153 419.0000000000
10315 420.0000000000
10395 423.0000000000
10461 424.0000000000
10472 426.0000000000
10488 427.0000000000
10550 428.0000000000
10564 429.0000000000
10697 430.0000000000
10791 431.0000000000
10883 434.0000000000
12797 435.0000000000
12997 436.0000000000
14533 438.0000000000
17117 439.0000000000
17122 441.0000000000
18049 442.0000000000
18642 443.0000000000
evaluations raw_y
20001 0.0000000000
20002 135.0000000000
20004 196.0000000000
20008 208.0000000000
20009 241.0000000000
20010 279.0000000000
20012 327.0000000000
20014 349.0000000000
20018 353.0000000000
20027 379.0000000000
20051 395.0000000000
20058 401.0000000000
20066 405.0000000000
20081 406.0000000000
20104 409.0000000000
20266 412.0000000000
20304 413.0000000000
20326 419.0000000000
20335 420.0000000000
20416 424.0000000000
20699 425.0000000000
21060 426.0000000000
21074 427.0000000000
21102 428.0000000000
21578 431.0000000000
21823 433.0000000000
22005 434.0000000000
22636 435.0000000000
23160 437.0000000000
23536 438.0000000000
26553 441.0000000000
evaluations raw_y
30001 0.0000000000
30002 101.0000000000
30003 149.0000000000
30004 208.0000000000
30005 215.0000000000
30006 257.0000000000
30007 278.0000000000
30009 303.0000000000
30010 336.0000000000
30014 350.0000000000
30015 378.0000000000
30023 381.0000000000
30026 397.0000000000
30033 398.0000000000
30055 403.0000000000
30123 409.0000000000
30156 414.0000000000
30182 415.0000000000
30269 420.0000000000
30429 421.0000000000
30439 422.0000000000
30485 423.0000000000
30486 424.0000000000
30496 428.0000000000
30852 429.0000000000
31275 430.0000000000
31466 431.0000000000
31550 433.0000000000
33748 434.0000000000
34004 435.0000000000
34403 436.0000000000
34985 439.0000000000
37109 440.0000000000
evaluations raw_y
40001 0.0000000000
40002 76.0000000000
40003 78.0000000000
40004 140.0000000000
40005 161.0000000000
40006 215.0000000000
40009 267.0000000000
40012 301.0000000000
40015 302.0000000000
40016 330.0000000000
40025 333.0000000000
40031 399.0000000000
40094 404.0000000000
40111 411.0000000000
40118 417.0000000000
40139 418.0000000000
40213 420.0000000000
40285 421.0000000000
40289 422.0000000000
40308 424.0000000000
40499 425.0000000000
40526 428.0000000000
40562 429.0000000000
41123 430.0000000000
41197 433.0000000000
41435 434.0000000000
41720 435.0000000000
41782 436.0000000000
43084 437.0000000000
43895 438.0000000000
44597 439.0000000000
47144 440.0000000000
47571 441.0000000000
48963 442.0000000000
evaluations raw_y
50001 0.0000000000
50002 80.0000000000
50003 98.0000000000
50004 183.0000000000
50008 214.0000000000
50009 335.0000000000
50012 338.0000000000
50020 362.0000000000
50023 390.0000000000
50026 401.0000000000
50050 402.0000000000
50089 411.0000000000
50110 422.0000000000
50265 424.0000000000
50278 428.0000000000
50459 433.0000000000
50840 434.0000000000
50989 437.0000000000
54798 438.0000000000
56925 440.0000000000
58420 443.0000000000
evaluations raw_y
60001 0.0000000000
60002 46.0000000000
60003 113.0000000000
60004 121.0000000000
60005 148.0000000000
60006 201.0000000000
60009 202.0000000000
60013 246.0000000000
60014 250.0000000000
60017 289.0000000000
60020 312.0000000000
60025 379.0000000000
60031 385.0000000000
60044 386.0000000000
60046 391.0000000000
60051 399.0000000000
60060 401.0000000000
60069 402.0000000000
60095 407.0000000000
60146 408.0000000000
60191 412.0000000000
60250 418.0000000000
60254 419.0000000000
60370 420.0000000000
60464 422.0000000000
60516 425.0000000000
60585 426.0000000000
60640 427.0000000000
60782 428.0000000000
61033 431.0000000000
61265 433.0000000000
61412 435.0000000000
62414 436.0000000000
62632 437.0000000000
62869 439.0000000000
67959 440.0000000000
evaluations raw_y
70001 0.0000000000
70002 56.0000000000
70004 106.0000000000
70006 144.0000000000
70011 252.0000000000
70015 261.0000000000
70017 282.0000000000
70018 294.0000000000
70022 309.0000000000
70024 341.0000000000
70026 345.0000000000
70028 370.0000000000
70030 407.0000000000
70069 410.0000000000
70103 415.0000000000
70197 417.0000000000
70218 423.0000000000
70249 424.0000000000
70376 425.0000000000
70543 428.0000000000
70622 429.0000000000
70737 430.0000000000
71257 431.0000000000
71453 432.0000000000
71686 435.0000000000
74014 436.0000000000
74965 437.0000000000
75348 438.0000000000
78064 439.0000000000
78156 441.0000000000
evaluations raw_y
80001 0.0000000000
80002 147.0000000000
80004 206.0000000000
80005 242.0000000000
80007 284.0000000000
80012 287.0000000000
80014 299.0000000000
80015 306.0000000000
80022 325.0000000000
80027 340.0000000000
80037 364.0000000000
80042 385.0000000000
80047 392.0000000000
80074 396.0000000000
80078 400.0000000000
80104 401.0000000000
80112 410.0000000000
80122 412.0000000000
80131 415.0000000000
