evaluations raw_y
1 0.0000000000
2 167.0000000000
4 216.0000000000
8 258.0000000000
10 293.0000000000
11 356.0000000000
18 370.0000000000
23 389.0000000000
32 408.0000000000
69 411.0000000000
80 416.0000000000
153 419.0000000000
315 420.0000000000
395 423.0000000000
461 424.0000000000
472 426.0000000000
488 427.0000000000
550 428.0000000000
564 429.0000000000
697 430.0000000000
791 431.0000000000
883 434.0000000000
2797 435.0000000000
2997 436.0000000000
4533 438.0000000000
7117 439.0000000000
7122 441.0000000000
8049 442.0000000000
8642 443.0000000000
10000 397.0000000000
