evaluations raw_y
1 0.0000000000
2 28.4600000000
6 34.5700000000
9 55.2900000000
20 101.2500000000
24 104.5500000000
44 109.3600000000
46 133.8600000000
58 161.2200000000
74 168.7100000000
99 221.9700000000
105 231.5900000000
108 232.6700000000
121 237.6700000000
136 253.4300000000
149 279.6500000000
151 287.6700000000
165 294.6200000000
189 297.5100000000
216 320.9700000000
296 324.6800000000
305 326.4400000000
309 461.6400000000
375 477.3200000000
670 485.2000000000
725 488.7800000000
873 489.3300000000
1308 495.6500000000
1328 512.0200000000
1596 512.5300000000
1628 525.8400000000
1742 532.6700000000
2149 537.4600000000
2576 541.0800000000
3636 548.0300000000
3960 557.6900000000
6458 567.1500000000
6463 584.7000000000
6464 601.7400000000
6518 613.5800000000
6539 650.7700000000
6552 655.4800000000
6572 662.3000000000
6754 664.9000000000
7670 680.5200000000
7746 680.6400000000
8072 687.8500000000
10000 508.5700000000
