evaluations raw_y
1 0.0000000000
2 2.9500000000
3 17.5000000000
4 36.2900000000
8 41.0200000000
10 48.8200000000
25 60.3300000000
26 70.4500000000
43 80.1700000000
46 110.1300000000
51 196.4500000000
54 235.1500000000
61 248.2400000000
62 270.4100000000
74 278.6900000000
80 285.0900000000
114 301.5900000000
185 302.7300000000
246 304.2700000000
249 304.5800000000
253 307.0800000000
259 307.7600000000
265 309.1600000000
271 325.1200000000
287 352.6900000000
288 375.6200000000
290 378.5500000000
293 392.2200000000
312 392.5200000000
330 392.7700000000
336 404.8000000000
343 413.5700000000
419 421.0300000000
443 423.6500000000
487 434.3000000000
491 436.5300000000
494 441.7800000000
551 453.9400000000
737 454.6800000000
883 454.8100000000
890 464.1900000000
907 479.0100000000
966 488.5800000000
1027 495.2600000000
1104 503.1900000000
1123 511.7500000000
1130 525.7800000000
1213 533.9300000000
1637 535.1100000000
1684 538.2400000000
1802 550.1400000000
1810 550.4100000000
2024 553.9000000000
2038 567.3000000000
2206 576.4600000000
2262 579.1200000000
2266 591.7900000000
2400 596.6600000000
2435 602.9000000000
2436 621.4100000000
2568 629.8500000000
2579 634.6900000000
2592 636.0500000000
2594 642.7900000000
2746 656.3100000000
2811 674.6500000000
3671 678.1700000000
3918 686.7500000000
4607 688.6300000000
4695 698.9100000000
4838 705.9900000000
4881 715.0700000000
5329 725.1800000000
5747 725.7200000000
6047 726.9200000000
6075 732.9800000000
6487 735.8300000000
7018 739.1900000000
7338 743.7700000000
7373 748.0000000000
7404 752.1000000000
7545 760.0400000000
7567 763.0900000000
7722 772.4700000000
8335 845.1200000000
8628 845.5900000000
8689 868.7600000000
9453 888.2600000000
9531 907.3000000000
10000 280.0700000000
