evaluations raw_y
1 -2851.0000000000
2 -2430.6838842572
3 99.8223973859
4 927.5589425499
7 2082.8783246100
10 3246.4613073718
12 4851.2329101681
13 7866.1522936138
18 9324.3448787170
27 11402.5385238619
30 12841.6077391536
31 13131.3250554963
32 16345.5328605295
41 17706.0736930135
44 18263.8205075431
64 18501.1508516329
86 19136.4346006338
87 19364.1251802024
91 19814.0129581307
97 19975.0026977282
142 20884.5688845080
167 21674.6173668487
172 21866.1069732334
177 22555.9197898375
184 22656.3844628740
186 23095.8283289552
227 23383.1371974799
282 23594.7875491006
294 23716.9011187653
405 23832.1321011620
510 23915.7323934944
687 24315.5580020647
700 24515.4660731871
766 24615.9079215954
1307 24715.3740601310
1447 24725.4380537138
1803 24947.4797206870
6413 25002.6957732610
6560 25115.1690214502
6660 25216.9440431033
8222 25319.9720299688
10000 -1598.8340238427
